,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,day,num_tot,per_10-19,per_20-29,per_30-39,per_40-49,per_50-59,per_60-69,per_70-79,per_80+
0,2020-12-20,0,0,0,0,0,0,0,0,202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-12-21,0,0,0,0,0,0,0,0,203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-12-22,0,0,0,0,0,0,0,0,204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-12-23,0,0,0,0,0,0,0,0,205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-12-24,0,0,0,0,0,0,0,0,206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-12-25,0,0,0,0,0,0,0,0,207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-12-26,0,0,0,0,0,0,0,0,208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-12-27,0,0,0,0,0,0,0,0,209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-12-28,0,0,0,0,0,0,0,0,210,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-12-29,0,0,0,0,0,0,0,0,211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-12-30,0,0,0,0,0,0,0,0,212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-12-31,0,0,0,0,0,0,0,0,213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-01-01,0,0,0,0,0,0,0,0,214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-01-02,0,0,0,0,0,0,0,0,215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-01-03,27,291,672,959,978,866,311,72,216,4176,0.006465517225896751,0.06968390787910941,0.16091953984454135,0.2296455933198142,0.23419540173803785,0.2073754784306143,0.0744731798982922,0.017241379269058
15,2021-01-04,52,473,1317,1892,1919,3639,2652,790,217,12734,0.004083555831566235,0.03714465208328518,0.10342390442639869,0.1485786083331407,0.15069891616876166,0.2857703782897987,0.208261347409878,0.06203863667187166
16,2021-01-05,57,661,1759,2162,2246,6912,6341,2141,218,22279,0.0025584631255628786,0.029669195192930924,0.07895327434851059,0.09704205749942006,0.10081242421077588,0.31024731796299326,0.28461780138937215,0.0960994658215811
17,2021-01-06,62,955,1885,2388,2666,10377,9606,3618,219,31557,0.00196469879837605,0.030262699233050448,0.0597331812086912,0.07567259242777431,0.08448204833017016,0.3288335392056173,0.3044015589871022,0.11464968149233144
18,2021-01-07,94,981,1753,2458,2707,12366,11398,4623,220,36380,0.002583837272516812,0.02696536557807439,0.04818581636938268,0.06756459591325877,0.07440901592237245,0.3399120394887542,0.3133040131079428,0.12707531607282152
19,2021-01-08,57,385,605,1024,1371,6304,6364,2817,221,18927,0.0030115707703219892,0.02034131134340291,0.03196491782534743,0.05410260471595995,0.07243620221248154,0.33306916028262845,0.33623923477770423,0.1488349975438078
20,2021-01-09,37,224,397,713,1118,5678,5686,2428,222,16281,0.0022725876774936505,0.013758368642123722,0.02438425156662106,0.04379337875818846,0.0686690006334568,0.348750076562404,0.34924144687105124,0.1491308886744482
21,2021-01-10,195,1740,2757,3933,4973,16255,15235,7426,223,52514,0.003713295501444701,0.03313402139750656,0.052500285628118155,0.07489431388298466,0.0946985565573564,0.3095365044922237,0.2901131126385129,0.14140990971142745
22,2021-01-11,380,3380,4583,6326,7262,20387,18224,8937,224,69479,0.005469278486237672,0.04864779285127192,0.06596237711165066,0.09104909395773556,0.10452079043962624,0.29342679078665107,0.2622950819294614,0.12862879429343704
23,2021-01-12,444,3928,5361,7706,9256,23039,20191,11558,225,81483,0.005448989359075023,0.048206374329834885,0.06579286476126396,0.09457187387619848,0.11359424663873516,0.2827460942426339,0.2477940183537923,0.14184553831574126
24,2021-01-13,502,4302,5407,7503,10420,23044,19432,11172,226,81782,0.006138270034220455,0.052603262325132266,0.06611479297814742,0.09174390451545035,0.1274118999135003,0.28177349535572943,0.23760729742026274,0.13660707733528074
25,2021-01-14,649,4956,6532,9176,13418,22011,17994,10796,227,85532,0.007587803394333371,0.05794322592036393,0.07636907823079443,0.10728148527951159,0.1568769583130434,0.2573422812213742,0.2103774025849533,0.12622176493871046
26,2021-01-15,348,1674,2675,4411,7050,10177,7861,4630,228,38826,0.008963065984401414,0.043115438097379215,0.06889713077090168,0.11360943694596161,0.181579353994339,0.2621181681702678,0.20246741868787219,0.11924998709131766
27,2021-01-16,382,1780,2823,5745,9500,9005,6619,4070,229,39924,0.009568179538731545,0.04458471093963913,0.07070934774303442,0.14389840693720607,0.23795210894751223,0.22555355169182606,0.16579000096037722,0.10194369299119735
28,2021-01-17,816,5404,6913,10476,15766,23147,18079,10531,230,91132,0.008954044681456124,0.059298599826702075,0.07585699863101249,0.11495413245457642,0.173001799568428,0.25399420617851093,0.19838256592652606,0.11555765262305692
29,2021-01-18,887,6664,8183,12880,17685,23711,18965,10764,231,99739,0.008893211280552921,0.06681438553957686,0.08204413518462746,0.1291370476815351,0.17731278635465436,0.237730476519944,0.19014628177642182,0.10792167556242575
30,2021-01-19,775,5448,6725,10319,14319,24007,19322,10731,232,91646,0.008456451999164562,0.059446129666385204,0.07338018025081507,0.11259629442500531,0.15624249829166112,0.2619536040567015,0.21083298777788087,0.11709185342327086
31,2021-01-20,670,5158,5624,8283,11897,22532,17684,10060,233,81908,0.008179909165383123,0.06297309175380023,0.06866240171061894,0.1011256531595051,0.14524832737397467,0.2750891243498695,0.21590076668751515,0.12282072567724511
32,2021-01-21,797,5278,6661,10449,15146,19052,14318,8423,234,80124,0.009947082021623099,0.06587289700141369,0.08313364284320134,0.1304103639196233,0.18903200037578852,0.23778143874022994,0.17869801804968571,0.10512455692362781
33,2021-01-22,919,3169,4846,8534,9050,9573,7162,3790,235,47043,0.019535318746777348,0.06736390109742918,0.10301213780944835,0.18140849856909455,0.19237718678817736,0.20349467504124,0.15224369190905263,0.08056458982620908
34,2021-01-23,568,2794,4960,8671,8802,12131,10195,5275,236,53396,0.010637500934407539,0.05232601692030751,0.09289085323003766,0.16239044120114043,0.1648438084941112,0.22718930252693284,0.19093190497585363,0.09879017152992917
35,2021-01-24,596,4007,5869,8856,9499,15756,12971,6944,237,64498,0.009240596606214053,0.06212595738439549,0.09099506960045349,0.1373065831285766,0.14727588450071694,0.24428664450924265,0.20110701103893033,0.10766225307642682
36,2021-01-25,433,3679,5157,7953,9490,14931,12428,7441,238,61512,0.007039276887917922,0.059809468061547424,0.08383730002538735,0.12929184547254327,0.15427883987607638,0.24273312520439375,0.2020418779746973,0.12096826633486664
37,2021-01-26,459,3960,4716,6941,10712,14835,11627,6934,239,60184,0.007626611722779042,0.06579821878476036,0.07835969691639642,0.1153296557032883,0.17798750495513965,0.24649408476563636,0.19319088126525472,0.11521334572058797
38,2021-01-27,649,4958,6130,9158,19687,15560,11205,6898,240,74245,0.008741329381272634,0.06677890766155581,0.08256448244561054,0.12334837361124003,0.2651626371789127,0.20957640242311584,0.15091925380147897,0.09290861336212423
39,2021-01-28,630,4244,5567,8365,17203,9555,6100,3646,241,55310,0.011390345324283069,0.07673115167659895,0.1006508768575934,0.15123847402798074,0.31102874700578037,0.17275357075162653,0.11028747060020114,0.06591936357513661
