,iso_code,date,total_cases_per_million,total_deaths_per_million
0,AFG,2020-02-24,0.026000000000000002,0.0
1,AFG,2020-02-25,0.026000000000000002,0.0
2,AFG,2020-02-26,0.026000000000000002,0.0
3,AFG,2020-02-27,0.026000000000000002,0.0
4,AFG,2020-02-28,0.026000000000000002,0.0
5,AFG,2020-02-29,0.026000000000000002,0.0
6,AFG,2020-03-01,0.026000000000000002,0.0
7,AFG,2020-03-02,0.026000000000000002,0.0
8,AFG,2020-03-03,0.051,0.0
9,AFG,2020-03-04,0.10300000000000001,0.0
10,AFG,2020-03-05,0.10300000000000001,0.0
11,AFG,2020-03-06,0.10300000000000001,0.0
12,AFG,2020-03-07,0.10300000000000001,0.0
13,AFG,2020-03-08,0.128,0.0
14,AFG,2020-03-09,0.18,0.0
15,AFG,2020-03-10,0.20600000000000002,0.0
16,AFG,2020-03-11,0.28300000000000003,0.0
17,AFG,2020-03-12,0.308,0.0
18,AFG,2020-03-13,0.33399999999999996,0.0
19,AFG,2020-03-14,0.385,0.0
20,AFG,2020-03-15,0.41100000000000003,0.0
21,AFG,2020-03-16,0.462,0.0
22,AFG,2020-03-17,0.514,0.0
23,AFG,2020-03-18,0.617,0.0
24,AFG,2020-03-19,0.642,0.0
25,AFG,2020-03-20,0.745,0.0
26,AFG,2020-03-21,0.7709999999999999,0.0
27,AFG,2020-03-22,0.873,0.026000000000000002
28,AFG,2020-03-23,1.053,0.026000000000000002
29,AFG,2020-03-24,1.105,0.026000000000000002
30,AFG,2020-03-25,1.952,0.051
31,AFG,2020-03-26,2.055,0.077
32,AFG,2020-03-27,2.338,0.077
33,AFG,2020-03-28,2.7489999999999997,0.10300000000000001
34,AFG,2020-03-29,3.031,0.10300000000000001
35,AFG,2020-03-30,3.75,0.10300000000000001
36,AFG,2020-03-31,4.495,0.10300000000000001
37,AFG,2020-04-01,5.061,0.10300000000000001
38,AFG,2020-04-02,6.165,0.10300000000000001
39,AFG,2020-04-03,7.064,0.20600000000000002
40,AFG,2020-04-04,7.706,0.257
41,AFG,2020-04-05,8.683,0.308
42,AFG,2020-04-06,9.453,0.385
43,AFG,2020-04-07,10.892000000000001,0.41100000000000003
44,AFG,2020-04-08,11.431,0.41100000000000003
45,AFG,2020-04-09,12.459000000000001,0.43700000000000006
46,AFG,2020-04-10,13.665999999999999,0.462
47,AFG,2020-04-11,14.283,0.462
48,AFG,2020-04-12,15.618,0.488
49,AFG,2020-04-13,17.108,0.565
50,AFG,2020-04-14,18.367,0.591
51,AFG,2020-04-15,20.165,0.745
52,AFG,2020-04-16,21.604,0.7709999999999999
53,AFG,2020-04-17,23.299,0.7709999999999999
54,AFG,2020-04-18,23.993000000000002,0.7709999999999999
55,AFG,2020-04-19,25.611,0.848
56,AFG,2020-04-20,26.381999999999998,0.925
57,AFG,2020-04-21,28.076999999999998,0.925
58,AFG,2020-04-22,30.235,1.028
59,AFG,2020-04-23,31.750999999999998,1.028
60,AFG,2020-04-24,34.191,1.105
61,AFG,2020-04-25,37.608000000000004,1.207
62,AFG,2020-04-26,39.354,1.3359999999999999
63,AFG,2020-04-27,43.773,1.49
64,AFG,2020-04-28,47.00899999999999,1.516
65,AFG,2020-04-29,49.835,1.567
66,AFG,2020-04-30,54.638999999999996,1.6440000000000001
67,AFG,2020-05-01,58.852,1.7469999999999999
68,AFG,2020-05-02,63.45,1.85
69,AFG,2020-05-03,69.487,2.1830000000000003
70,AFG,2020-05-04,74.367,2.312
71,AFG,2020-05-05,82.845,2.44
72,AFG,2020-05-06,87.16,2.6719999999999997
73,AFG,2020-05-07,91.553,2.7230000000000003
74,AFG,2020-05-08,97.12700000000001,2.8
75,AFG,2020-05-09,103.83200000000001,2.9539999999999997
76,AFG,2020-05-10,113.105,3.083
77,AFG,2020-05-11,120.40100000000001,3.134
78,AFG,2020-05-12,127.619,3.262
