,C1_index,C2_index,C3_index,C4_index,C5_index,C6_index,C7_index,C8_index,H1_index,H6_index,H8_index,new_vaccinations_smoothed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
9,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
10,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
11,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
12,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
13,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
14,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
15,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
16,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
17,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
18,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
19,7.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
20,7.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
21,7.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
22,7.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
23,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
24,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
25,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
26,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
27,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
28,7.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
29,7.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0
30,7.0,6.0,5.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
31,7.0,6.0,5.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
32,7.0,6.0,5.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
33,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
34,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
35,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
36,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
37,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
38,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
39,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
40,7.0,6.0,5.0,0.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
41,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
42,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
43,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
44,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
45,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
46,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
47,7.0,6.0,5.0,9.0,4.0,4.0,2.0,3.0,5.0,0.0,6.0,0.0
48,7.0,6.0,5.0,9.0,4.0,4.0,4.0,3.0,5.0,0.0,6.0,0.0
49,7.0,6.0,5.0,9.0,4.0,4.0,4.0,3.0,5.0,0.0,6.0,0.0
