first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1056,33.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,853,35.0,0.0
2020-03-15,2020-03-21,20-24,זכר,681,100.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,614,35.0,0.0
2020-03-15,2020-03-21,25-29,זכר,588,52.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,720,46.0,0.0
2020-03-15,2020-03-21,30-34,זכר,617,54.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,687,34.0,0.0
2020-03-15,2020-03-21,35-39,זכר,537,47.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,515,26.0,0.0
2020-03-15,2020-03-21,40-44,זכר,411,32.0,0.0
2020-03-15,2020-03-21,40-44,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,445,15.0,0.0
2020-03-15,2020-03-21,45-49,זכר,339,35.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,395,<15,0.0
2020-03-15,2020-03-21,50-54,זכר,278,30.0,0.0
2020-03-15,2020-03-21,50-54,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,379,23.0,0.0
2020-03-15,2020-03-21,55-59,זכר,201,26.0,0.0
2020-03-15,2020-03-21,55-59,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,338,24.0,0.0
2020-03-15,2020-03-21,60-64,זכר,228,19.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,300,23.0,0.0
2020-03-15,2020-03-21,65-69,זכר,263,33.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,231,<15,0.0
2020-03-15,2020-03-21,70-74,זכר,201,26.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,154,16.0,0.0
2020-03-15,2020-03-21,75-79,זכר,117,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,88,<15,0.0
2020-03-15,2020-03-21,80+,זכר,192,<15,<15
2020-03-15,2020-03-21,80+,נקבה,235,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,225,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,46,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,229,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2348,178.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,25,<15,0.0
2020-03-22,2020-03-28,0-19,נקבה,2108,154.0,0.0
2020-03-22,2020-03-28,20-24,זכר,1975,218.0,0.0
2020-03-22,2020-03-28,20-24,לא ידוע,51,0.0,0.0
2020-03-22,2020-03-28,20-24,נקבה,2051,154.0,0.0
2020-03-22,2020-03-28,25-29,זכר,1935,165.0,0.0
2020-03-22,2020-03-28,25-29,לא ידוע,24,<15,0.0
2020-03-22,2020-03-28,25-29,נקבה,2094,118.0,0.0
2020-03-22,2020-03-28,30-34,זכר,1759,137.0,0.0
2020-03-22,2020-03-28,30-34,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,30-34,נקבה,1746,115.0,0.0
2020-03-22,2020-03-28,35-39,זכר,1483,119.0,0.0
2020-03-22,2020-03-28,35-39,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,35-39,נקבה,1490,80.0,0.0
2020-03-22,2020-03-28,40-44,זכר,1161,97.0,0.0
2020-03-22,2020-03-28,40-44,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,40-44,נקבה,1233,73.0,0.0
2020-03-22,2020-03-28,45-49,זכר,1013,126.0,0.0
2020-03-22,2020-03-28,45-49,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,45-49,נקבה,1158,79.0,0.0
2020-03-22,2020-03-28,50-54,זכר,766,115.0,0.0
2020-03-22,2020-03-28,50-54,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,50-54,נקבה,1104,102.0,0.0
2020-03-22,2020-03-28,55-59,זכר,739,146.0,0.0
2020-03-22,2020-03-28,55-59,לא ידוע,<15,<15,0.0
2020-03-22,2020-03-28,55-59,נקבה,973,79.0,0.0
2020-03-22,2020-03-28,60-64,זכר,853,121.0,<15
2020-03-22,2020-03-28,60-64,לא ידוע,<15,0.0,0.0
