,date,num_hosp
244,2020-11-10,646
245,2020-11-11,621
246,2020-11-12,608
247,2020-11-13,594
248,2020-11-14,607
249,2020-11-15,640
250,2020-11-16,620
251,2020-11-17,610
252,2020-11-18,603
253,2020-11-19,621
254,2020-11-20,602
255,2020-11-21,614
256,2020-11-22,619
257,2020-11-23,601
258,2020-11-24,570
259,2020-11-25,585
260,2020-11-26,582
261,2020-11-27,560
262,2020-11-28,560
263,2020-11-29,600
264,2020-11-30,601
265,2020-12-01,615
266,2020-12-02,631
267,2020-12-03,633
268,2020-12-04,657
269,2020-12-05,665
270,2020-12-06,694
271,2020-12-07,687
272,2020-12-08,693
273,2020-12-09,704
274,2020-12-10,717
275,2020-12-11,725
276,2020-12-12,739
277,2020-12-13,810
278,2020-12-14,838
279,2020-12-15,864
280,2020-12-16,869
281,2020-12-17,881
282,2020-12-18,924
283,2020-12-19,950
284,2020-12-20,1016
285,2020-12-21,1026
286,2020-12-22,1068
287,2020-12-23,1071
288,2020-12-24,1095
289,2020-12-25,1116
290,2020-12-26,1192
291,2020-12-27,1267
292,2020-12-28,1259
293,2020-12-29,1291
294,2020-12-30,1309
295,2020-12-31,1345
296,2021-01-01,1392
297,2021-01-02,1443
298,2021-01-03,1594
299,2021-01-04,1625
300,2021-01-05,1697
301,2021-01-06,1723
302,2021-01-07,1774
303,2021-01-08,1780
304,2021-01-09,1858
305,2021-01-10,2005
306,2021-01-11,2011
307,2021-01-12,2005
308,2021-01-13,2015
309,2021-01-14,2053
310,2021-01-15,2091
311,2021-01-16,2111
312,2021-01-17,2245
313,2021-01-18,2178
314,2021-01-19,2114
315,2021-01-20,2090
316,2021-01-21,2064
317,2021-01-22,2015
318,2021-01-23,2013
319,2021-01-24,2123
320,2021-01-25,2042
321,2021-01-26,1993
322,2021-01-27,1939
323,2021-01-28,1939
324,2021-01-29,1908
325,2021-01-30,1891
326,2021-01-31,1988
327,2021-02-01,1970
328,2021-02-02,1947
329,2021-02-03,1919
330,2021-02-04,1838
331,2021-02-05,1784
332,2021-02-06,1791
333,2021-02-07,1894
334,2021-02-08,1865
335,2021-02-09,1752
336,2021-02-10,1730
337,2021-02-11,1676
338,2021-02-12,1614
339,2021-02-13,1600
340,2021-02-14,1674
341,2021-02-15,1636
342,2021-02-16,1605
343,2021-02-17,1577
344,2021-02-18,1513
345,2021-02-19,1398
346,2021-02-20,1415
347,2021-02-21,1471
348,2021-02-22,1402
349,2021-02-23,1354
350,2021-02-24,1330
351,2021-02-25,1260
352,2021-02-26,1243
353,2021-02-27,1271
354,2021-02-28,1326
355,2021-03-01,1292
356,2021-03-02,1270
357,2021-03-03,1227
358,2021-03-04,1224
359,2021-03-05,1140
360,2021-03-06,1134
361,2021-03-07,1210
362,2021-03-08,1172
363,2021-03-09,1131
364,2021-03-10,1105
365,2021-03-11,1073
366,2021-03-12,1017
367,2021-03-13,1033
368,2021-03-14,1090
369,2021-03-15,1016
370,2021-03-16,975
371,2021-03-17,938
372,2021-03-18,910
373,2021-03-19,862
374,2021-03-20,867
375,2021-03-21,891
376,2021-03-22,818
377,2021-03-23,768
378,2021-03-24,767
379,2021-03-25,745
380,2021-03-26,669
381,2021-03-27,634
382,2021-03-28,641
383,2021-03-29,664
384,2021-03-30,612
385,2021-03-31,576
386,2021-04-01,546
387,2021-04-02,510
388,2021-04-03,506
389,2021-04-04,504
