סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,24861 ,3143 ,1250 ,1066 ,616 ,693 ,18093
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,801 ,67 ,200 ,272 ,100 ,69 ,93
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,447 ,35 ,81 ,162 ,53 ,53 ,63
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,616 ,47 ,136 ,193 ,82 ,61 ,97
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,722 ,53 ,190 ,210 ,87 ,40 ,142
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,475 ,44 ,107 ,165 ,56 ,41 ,62
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,695 ,39 ,204 ,199 ,124 ,52 ,77
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,644 ,69 ,171 ,204 ,76 ,51 ,73
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1132 ,79 ,401 ,351 ,202 ,63 ,36
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,227 ,23 ,39 ,78 ,33 ,17 ,37
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,258 ,33 ,59 ,100 ,18 ,18 ,30
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,856 ,54 ,197 ,281 ,148 ,78 ,98
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3457 ,249 ,686 ,1176 ,452 ,308 ,586
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,392 ,26 ,101 ,129 ,38 ,43 ,55
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,16544 ,1253 ,4469 ,5556 ,2376 ,1264 ,1626
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1782 ,128 ,359 ,615 ,261 ,177 ,242
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,35729 ,4900 ,7996 ,13364 ,3153 ,2663 ,3653
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,654 ,73 ,127 ,226 ,74 ,79 ,75
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,669 ,48 ,174 ,239 ,84 ,61 ,63
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,514 ,40 ,90 ,171 ,54 ,47 ,112
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,664 ,83 ,157 ,243 ,68 ,34 ,79
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,554 ,68 ,125 ,209 ,50 ,52 ,50
38 ,כרי דשא ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,4 ,0 ,0 ,0 ,1 ,1 ,2
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,396 ,40 ,86 ,142 ,34 ,45 ,49
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3714 ,295 ,787 ,1261 ,464 ,399 ,508
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,1814 ,111 ,224 ,804 ,198 ,184 ,293
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,388 ,34 ,85 ,145 ,33 ,35 ,56
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,4563 ,539 ,1460 ,1481 ,348 ,344 ,391
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4853 ,329 ,1156 ,1614 ,644 ,487 ,623
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1262 ,103 ,214 ,446 ,142 ,137 ,220
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,598 ,27 ,108 ,223 ,82 ,80 ,78
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,827 ,89 ,258 ,267 ,109 ,57 ,47
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,10030 ,1162 ,2412 ,3405 ,1158 ,697 ,1196
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,593 ,51 ,128 ,195 ,76 ,40 ,103
