VaccinationDate,age_group,first_dose,second_dose
2020-12-20,20-29,343,0
2020-12-20,0-19,<15,0
2020-12-20,80-89,93,0
2020-12-20,60-69,1557,0
2020-12-20,50-59,1821,0
2020-12-20,90+,<15,0
2020-12-20,70-79,517,0
2020-12-20,40-49,1813,0
2020-12-20,30-39,1168,0
2020-12-21,20-29,953,0
2020-12-21,0-19,47,0
2020-12-21,60-69,7074,0
2020-12-21,40-49,3747,0
2020-12-21,80-89,1240,0
2020-12-21,30-39,2716,0
2020-12-21,70-79,5129,0
2020-12-21,90+,177,0
2020-12-21,50-59,3702,0
2020-12-22,90+,511,0
2020-12-22,20-29,1443,0
2020-12-22,0-19,78,0
2020-12-22,80-89,3668,0
2020-12-22,50-59,4581,0
2020-12-22,30-39,3553,0
2020-12-22,60-69,13869,0
2020-12-22,70-79,12332,0
2020-12-22,40-49,4489,0
2020-12-23,20-29,1961,0
2020-12-23,0-19,130,0
2020-12-23,70-79,18781,0
2020-12-23,40-49,4938,0
2020-12-23,30-39,3789,0
2020-12-23,80-89,5909,0
2020-12-23,90+,1136,0
2020-12-23,50-59,5305,0
2020-12-23,60-69,20573,0
2020-12-24,20-29,1953,0
2020-12-24,0-19,156,0
2020-12-24,70-79,22726,0
2020-12-24,30-39,3699,0
2020-12-24,60-69,24518,0
2020-12-24,90+,1485,0
2020-12-24,40-49,5123,0
2020-12-24,80-89,8021,0
2020-12-24,50-59,5563,0
2020-12-25,90+,851,0
2020-12-25,80-89,4722,0
2020-12-25,20-29,722,0
2020-12-25,0-19,107,0
2020-12-25,40-49,2199,0
2020-12-25,70-79,12810,0
2020-12-25,30-39,1333,0
2020-12-25,60-69,12805,0
2020-12-25,50-59,2877,0
2020-12-26,90+,775,0
2020-12-26,70-79,11088,0
2020-12-26,40-49,1623,0
2020-12-26,30-39,934,0
2020-12-26,20-29,465,0
2020-12-26,50-59,2354,0
2020-12-26,60-69,11345,0
2020-12-26,0-19,75,0
2020-12-26,80-89,3892,0
2020-12-27,90+,2600,0
2020-12-27,60-69,31653,0
2020-12-27,30-39,5841,0
2020-12-27,40-49,8255,0
2020-12-27,70-79,29659,0
2020-12-27,20-29,3452,0
2020-12-27,80-89,12270,0
2020-12-27,50-59,9843,0
2020-12-27,0-19,396,0
2020-12-28,40-49,13189,0
2020-12-28,60-69,38793,0
2020-12-28,90+,2847,0
2020-12-28,80-89,14164,0
2020-12-28,50-59,14564,0
2020-12-28,30-39,9287,0
2020-12-28,70-79,34302,0
2020-12-28,0-19,847,0
2020-12-28,20-29,6677,0
2020-12-29,60-69,42938,0
2020-12-29,50-59,18242,0
2020-12-29,40-49,15978,0
2020-12-29,30-39,11152,0
2020-12-29,70-79,37260,0
2020-12-29,90+,4721,0
2020-12-29,0-19,1038,0
2020-12-29,80-89,16918,0
2020-12-29,20-29,7528,0
2020-12-30,50-59,20552,0
2020-12-30,0-19,1102,0
2020-12-30,80-89,15893,0
2020-12-30,40-49,15803,0
2020-12-30,90+,4217,0
2020-12-30,70-79,34272,0
2020-12-30,30-39,11305,0
2020-12-30,60-69,41293,0
2020-12-30,20-29,8117,0
2020-12-31,50-59,26188,0
2020-12-31,20-29,9536,0
2020-12-31,30-39,13414,0
2020-12-31,70-79,30815,0
2020-12-31,40-49,18862,0
2020-12-31,60-69,38759,0
2020-12-31,90+,4057,0
2020-12-31,80-89,14958,0
2020-12-31,0-19,1370,0
2021-01-01,60-69,17724,0
2021-01-01,40-49,9187,0
2021-01-01,0-19,704,0
2021-01-01,80-89,6300,0
2021-01-01,20-29,3211,0
2021-01-01,90+,1597,0
2021-01-01,50-59,13895,0
2021-01-01,70-79,12973,0
2021-01-01,30-39,5562,0
2021-01-02,0-19,754,0
2021-01-02,80-89,5565,0
2021-01-02,50-59,18134,0
2021-01-02,40-49,11255,0
2021-01-02,20-29,3237,0
2021-01-02,30-39,5404,0
2021-01-02,70-79,10709,0
2021-01-02,90+,1756,0
2021-01-02,60-69,14720,0
2021-01-03,20-29,9783,0
2021-01-03,0-19,1637,0
2021-01-03,50-59,27989,0
2021-01-03,90+,3227,0
2021-01-03,80-89,13302,0
2021-01-03,30-39,12312,0
2021-01-03,60-69,35510,0
2021-01-03,40-49,18830,0
2021-01-03,70-79,26653,0
2021-01-04,20-29,11401,0
2021-01-04,0-19,1628,0
2021-01-04,30-39,13685,0
2021-01-04,80-89,12438,0
2021-01-04,50-59,30661,0
2021-01-04,60-69,32425,0
2021-01-04,40-49,22344,0
2021-01-04,70-79,24226,0
2021-01-04,90+,2881,0
2021-01-05,0-19,1357,0
2021-01-05,80-89,10693,0
2021-01-05,20-29,8726,0
2021-01-05,40-49,17013,0
2021-01-05,70-79,21340,0
2021-01-05,90+,2479,0
2021-01-05,30-39,10751,0
2021-01-05,60-69,29086,0
2021-01-05,50-59,23238,0
2021-01-06,90+,2275,0
2021-01-06,80-89,9039,0
2021-01-06,60-69,24536,0
2021-01-06,40-49,13470,0
2021-01-06,20-29,8093,0
